Marketing Part Number,Description
1123375-3,040 MLC PLUG HSG ASSY 16P
1123379-1,040-3 MLC PLUG HSG ASSY 20P
1123387-1,040-3 MLC PLUG HSG ASSY 24P
1123391-3,040-3 MLC PLUG HSG ASSY 24P
1123882-2,040 MLC MK2 CAP HSG 12P
1318221-1,040-3 HD PLUG HSG ASSY 16P
1318305-2,025 PLUG HSG 6P LIGHT SENSOR
1318386-1,025 ECU PLUG HSG ASSY 16P
1318389-1,025 ECU PLUG HSG ASSY 40P
1318620-2,025 PLUG HSG 4P FOR A/H SENSOR
1318690-1,025 IDC PLUG ASSY 8P
1318691-1,025 IDC PLUG ASSY 20P
1318692-1,025 IDC PLUG HSG 8P
1318693-2,025 IDC 20POS PLUG
1318694-1,025 IDC KOCK HSG 16P
1318695-1,025 IDC LOCK HSG 40P
1318747-1,025 ECU PLUG HSG ASSY 32P
1318774-1,025 ECU PLUG HSG ASSY 12P
1318801-1,025/040 7P PLUG HSG IMMOBILIZE
1318825-7,AIR BAG PLUG ASSY 6P
1318828-6,AIR BAG PLUG ASSY 8P
1318917-1,025 ECU PLUG HSG ASSY 24P
1376352-1,025 I/O PLUG HSG ASSY 8P
1376368-1,025 I/O PLUG HSG 8P
1376600-3,060/187 ABS
1376600-4,060/187 ABS
1376600-5,060/187 ABS
1376675-1,025 PLUG HSG ASSY S/BODY 12P
1379659-6,8W PLUG HOUSING ASSY RED,CONN KIT
1379659-7,8W PLUG HOUSING ASSY PURPLE,CONN KIT
1438465-1,4 POS PLUG HOUSING, RIGHT KEYED, .040 ML
1438466-2,4 POS PLUG HOUSING, LEFT KEYED, .040 MLC
1438759-1,22WAY HYBRID .040/2.8 PLUG ASSY KEY 'B'
1473143-1,025 PLUG HSG 2P
1473143-2,025 2POS PLUG HSG
1473672-1,025 PLUG ASSY
1473672-2,025 PLUG ASSY
1473801-1,025 IDC 4POS LOCK HSG
1473802-1,025 IDC 8POS LOCK HSG
1473803-1,025 IDC 12POS PLUG HSG
1473804-1,025 IDC 24POS LOCK HSG
1473805-1,025 IDC 16POS PLUG HSG
1473806-1,025 IDC 32POS LOCK HSG
1473807-1,025 IDC 10POS PLUG HSG
1473808-1,025 IDC 20POS LOCK HSG
1473809-1,025 IDC 6POS PLUG HSG
1473810-1,025 IDC 12POS LOCK HSG
1473866-1,040 MLC 8POS CAP INNER HSG
1565380-1,025 28POS PLUG ASSY
1599385-1,HSG 18 POSN .070 SRS MLC TAB
1612683-1,060/187 ABS 26POS PLUG ASSY
1612683-2,060/187 ABS 26POS PLUG ASSY
1674312-1,0.64 III 40POS PLUG ASSY
1717103-1,0.64 III 8POS PLUG ASSY
1717106-1,0.64 III 12POS PLUG ASSY
1717109-1,0.64 III 16POS PLUG ASSY
1717112-1,0.64 III 24POS PLUG ASSY
1717115-1,0.64 III 28POS PLUG ASSY
1717118-1,0.64 III 32POS PLUG ASSY
1717591-1,025 IDC 6POS PLUG ASSY
173850-1,070 MULTILOCK PLUG 8P
173850-2,070 MULTILOCK PLUG 8P
173851-1,070 MULTILOCK PLUG 12P
173852-1,070 MULTILOCK PLUG 14P
173852-6,070 MLC PLUG HSG 14P GRAY
173853-1,070 MULTILOCK PLUG 18P
174044-1,040 MLC I/O 8P PLUG HSG NAT
174044-2,040 MLC PLUG HSG 8P BLACK
174045-2,040 MULTILOCK PLUG 12P
174046-1,040 MLC PLUG HSG 16P NATURAL
174046-2,040 MULTILOCK PLUG 16P
174047-2,040 MULTILOCK PLUG 20P
174056-1,040 MLC 2POS PLUG HSG
174056-2,040 MULTILOCK PLUG 2P
174056-4,040 MLC PLUG HSG 2P GREEN
174056-5,040 MLC PLUG HSG 2P BLUE
174057-2,040 MULTILOCK CAP 2P
174057-4,040 MLC CAP HSG 2P GREEN
174058-2,040 MULTILOCK CAP 12P
174060-5,040 LOW PROFILE PLUG 16P
1743086-2,LIF HYB 39P CAP ASSY BLK
1743089-2,LIF HYB 39P PLUG ASSY BLK
1743095-1,LIF HYB 42P CAP ASSY NAT
1743098-1,LIF HYB 42P PLUG ASSY NAT
1743104-1,040/070 HYB I/O 64P CAP ASSY
1743184-1,FOG S/W 6P PLUG ASSY
1743184-2,FOG S/W 6P PLUG ASSY BLK
1743184-3,FOG S/W 6P PLUG ASSY GRY
1743184-8,FOG S/W 6P PLUG ASSY
1743247-1,040/090 HYB 14P PLUG ASSY
1743259-1,HYBRID 15P CAP ASSY(DTB)
1743466-1,040 MK-I 2P PLUG HSG
1743528-1,LIF HYB 39P CAP ASSY
1743531-1,LIF HYB 39P PLUG ASSY
1743611-1,HYBRID 18P PLUG ASSY(DTB)
1743632-2,HYB SLD 36P PLUG ASSY
1743636-2,HYB SLD 36P CAP HSG
1743677-1,DTB 42P CAP ASSY
1743680-1,DTB 21P PLUG ASSY
174463-1,070 MULTILOCK 2P P
174463-2,070 MCL 2P P B
174463-3,070 MULTILOCK PLUG 2P
174463-7,070 MLC PLUG HSG 2P YELLOW
174464-1,070 MULTILOCK 10P P SIGNAL
174465-1,070 MULTILOCK 10P B DOUBLE
174514-6,HYBRID I/O CONN PLUG HSG 16P
174515-1,040/070 HYBRID PLUG 22P WHITE
174515-6,HYBRID I/O CONN PLUG HSG 22P
174515-7,HYBRID I/O CONN PLUG HSG 22P
174516-1,040/070 HYBRID PLUG 26P WHITE
174516-6,HYBRID I/O CONN PLUG HSG 26P
1746126-1,025 IDC 12POS PLUG ASSY
1746847-1,040 MLC 14POS PLUG HSG
1746872-1,0.64III 12POS PLUG ASSY
1746875-1,0.64III 8POS PLUG ASSY 1ROW
1746911-1,0.64III I/O 4P CONNECTOR PLUG HOUSING B
1747731-1,0.64/1.0 SEALED 49POS PLUG ASSY, C KEY
1747731-2,0.64/1.0 SEALED 49POS PLUG ASSY, B KEY
174910-2,040 MLC PLUG HSG 20P
174913-6,HYBRID PLUG HSG 12P GRAY
174921-1,070 MLC W-W PLUG HSG 3P NATURA
174921-2,070 MLC W-W PLUG HSG 3P BLACK
174921-7,070 MLC PLUG HSG 3P YELLOW
174922-1,070 MLC W-W PLUG HSG 4P NATURA
174922-2,070 MLC W-W PLUG
174922-4,070 MLC W-W PLUG HSG 4P GREEN
174922-7,070 MLC W-W PLUG HSG 4P YELLOW
174923-1,070 MLC PLUG 6P
174923-2,070 MLC W-W PLUG HSG 6P SGL
174923-6,070 MLC PLUG HSG 6P GRAY
174926-1,070 MLC W-W PLUG HSG 13P
174927-1,070 MLC W-W PLUG HSG 15P
174928-7,070 MLC CAP HSG 3P YELLOW
174931-2,070 MLC W-W CAP HSG 8P BLACK
174932-2,070 MLC W-W CAP HSG 10P B
174933-2,070 MLC W-W CAP HSG 12P B
174934-6,070 MLC CAP HSG 14P GRAY
174936-5,070 MLC W-W CAP HSG 20P BLUE
174937-1,070 MLC CAP HSG 8P W/FLANGE
174942-5,070 MLC W-W CAP HSG 15P BLUE
174952-1,070 MLC W-W PLUG HSG 20P
174952-5,070 MLC W-W PLUG HSG 20P BLUE
174952-6,070 MLC PLUG HSG 20P DBL TYPE
174952-7,070 MULTI LOCK PLUG HSG 20P
174966-2,040 MLC PLUG HSG 4P BLACK
174967-2,040 MLC CAP HSG 4P BLACK
175110-6,040/070 HYBRID T.F.PLG HSG 22P
175111-6,04/07 HYBRID T.F PLUG HSG 26P
175442-1,HYBRID PLUG HSG 12P NATURAL
175442-6,HYBRID PLUG HSG 12P GRAY
175507-2,040 MULTI-LOCK I/O PLUG HSG 6P
175567-1,HYBRID I/O CONN PLUG HSG 26P
175652-2,040 MLC CAP HSG 20P W-W
175657-5,070 MLC W-W CAP HSG 6P BLUE
175658-1,070 MLC W-W PLUG HSG 6P
175964-2,040 MLC II PLUG HSG ASSY 8P
175964-3,040 MLC 8POS PLUG HSG ASSY
175965-1,I/O PLUG ASSY .040 12P
175965-2,040 MLC II PLUG HSG ASSY 12P
175965-3,040 MLC 12POS PLUG HSG ASSY
175966-1,I/O PLUG ASSY .040 16P
175966-2,040 MLC II PLUG HSG ASSY 16P
175966-3,040 MLC 16POS PLUG HSG ASSY
175967-2,040 MLC II PLUG HSG ASSY 20P
175967-3,040 MLC 20POS PLUG HSG ASSY
176116-6,070 MLC II PLUG ASSY 12P GRAY
176117-6,070 MLC II PLUG ASSY 14P GRAY
176117-8,070 MLC PLUG 14P DBL PLT ASSY
176118-5,070 MLC PLUG HSG ASSY 18P BLUE
176118-6,070 MLC II PLUG ASSY 18P GRAY
176119-6,070 MLC II PLUG ASSY 20P GRAY
176121-2,.040 MULTI-LOCK 8 POS
177699-1,IMPUL MATE PLUG HSG ASSY 64P
177700-1,IMPUL MATE PLUG HSG ASSY 76P
177746-7,AIR BAG 21P PLUG ASSY YELLOW
178081-6,IMPUL MATE PLUG ASSY 104P
178409-6,40P PLUG HSG ASSY FOR 120P ECU
178411-6,80P PLUG HSG ASSY FOR 120P ECU
178455-1,.040 MLC DOOR-MIRROR CONN
178689-2,14P NSCC PLUG HSG ASSY
178690-1,18P NSCC PLUG HSG ASSY
179054-6,040 MLC MK-2 PLUG ASSY 16P
179057-6,040 MLC MK-2 PLUG ASSY 20P
179263-6,SAI CONN PLUG ASSY 70P
1897223-2,DTB 040/090 30P CAP ASSY
1897499-1,REAR DTB 040/090 18P CAP ASSY
1897552-1,090 LIF 32P CAP ASSY(NA)
1897556-1,090 LIF 32P PLUG ASSY(NA)
1897695-2,040 8P CAP ASSY SEAL TYPE BLK
1939592-1,040 MLC MK-2 CAP HSG 8P
1989065-1,44POS,ECONOSEAL,REC HSG ASSY,UNSLD
1989068-1,44POS,ML .070,TAB HSG ASSY,UNSLD
2-936321-3,090/SPT HYB 32P PLUG ASSY GRY
2005040-2,090/250 LIF 30P PLUG ASSY BLK
2005044-2,090/250 LIF 39P PLUG ASSY
2005076-1,025 16P PLUG ASSY
2005085-1,025 24P CAP ASSY
2005091-1,025 32P CAP ASSY
2005155-1,070 12P PLUG HSG
2005496-1,025 JOINT 14P(10P) ASSY NAT
2005496-2,025 JOINT 14P(12P) ASSY BLK
2005499-7,025 JOINT 30P ASSY GRN
2005575-1,060/110/250 LIF 38P PLUG ASSY WHI
2109131-1,060/110 18P PLUG ASSY WHI
2109134-1,060/250 HYB 16P PLUG ASSY
2109141-2,HYB LIF 51P PLUG ASSY BLK
2109193-1,025/060/250 HYB LIF 41P PLUG A
2109335-2,025/060/110  DOOR 50P CAP ASSY
2109340-2,025/060/110  DOOR 50P PLUG ASSY
2109366-2,110 UNSLD 2P PLUG ASSY
2109520-1,025/060/110 HYB 25P PLUG ASSY
2822343-1,MINI MLC PLUG HSG ASSY 7P
282367-1,070 MULTILOCK PLUG HSG.  12 PO
282368-1,070 MULTILOCK PLUG HSG.  18 PO
282369-2,070 MULTILOCK PLUG HSG   20 PO
282369-4,070 MULTILOCK PLUG HSG   20 PO
282371-1,070 MULTILOCK CAP HSG    12 PO
282990-3,12P. 070 NEW GEN. ASSEMBLY (FOR TRUCKS)
282992-1,TAB CONN.NEW GEN.F.TRUCK
282992-2,TAB CONN.NEW GEN.F.TRUCK
282993-3,TAB CONN.NEW GEN.F.TRUCK
282993-4,12 POS. .070 NEW GEN. ASSY - G
284159-4,6+6 POS. REC HSG & SEC LOCK KI
284820-2,2 pos 070 New Generation
3-936321-4,090/SPT HYB 32P PLUG ASSY BRN
316013-1,040 PAIR MATE PLUG HSG ASY 16P
316016-6,040 PAIR MATE PLUG HSG ASY 22P
316022-6,040 PAIR MATE PLUG HSG ASY 34P
316371-1,040 II SRS MK-II 24P PLUG ASSY
316372-6,040 II SRS MK-II 24P PLUG ASSY
316988-6,.040 II MLC PLUG ASSY 10P
348667-6,26 WAY 040/070 PLUG GREY
348794-3,SHORTING CONN TAB HOUSINGBRIGH
348794-4,SHORTING CONN TAB HOUSING(BRIG
353027-1,040 H/D-3 PLUG HSG ASSY 17P
353028-1,040 H/D-3 PLUG HSG ASSY 22P
353028-2,040 H DENSITY 3 22P PLUG ASSY
353029-1,040 H/D-3 PLUG HSG ASSY 24P
353031-1,040 H/D-3 PLUG HSG ASSY 31P
353107-2,040 II SRS 24P PLUG HSG ASSY
353112-4,.040 2 MLC 24P PLUG HSG ASSY
353664-1,LIF CONN. SUB PLUG 7P NATURAL
353665-1,LIF CONN. SUB PLUG 15P NATURAL
353665-4,LIF CONN. SUB PLUG 15P GREEN
353826-1,040 HD 31P PLUG HSG ASSY-B
353899-4,MINI MLC PLUG ASSY 7P (N-SEAL)
353900-4,MINI MLC CAP ASSY 7P (N-SEAL)
368134-1,040/070 HYB 16P PLUG HSG NAT
368134-6,040/070 HYB 16P PLUG HSG GRY
368135-1,040/070 HYB 22P PLUG HSG
368136-1,040/070 HYB 26P PLUG HSG
368182-1,090 MLC 14P PLUG HSG
368191-2,040 MLC 8P CAP HSG(HMC)
368268-3,090 14P Spl. Pack Cap Assy(Brw
368451-4,090/250 HYB 14P PLUG ASSY BRN
368451-8,090/250 HYB 14P PLUG ASSY BLU
368454-2,090/250 HYB 16P PLUG ASSY BLK
368454-3,090/250 HYB 16P PLUG ASSY GRY
368457-4,090/250 HYB 20P PLUG ASSY BRN
368485-2,090 Door To Body Cap Ass'y BLK
368488-1,090 Door To Body Plug Ass'y
368497-3,090/SPT HYB 18P PLUG ASSY GRY
368500-1,070 MLC PLUG HSG 3P
368500-2,070 MLC PLUG HSG 3P BLACK
368501-1,070 MLC PLUG HSG 4P
368502-1,070 MLC PLUG HSG 6P SGL
368503-1,070 MLC CAP HSG 3P
368504-1,070 MLC CAP HSG 6P
368505-1,070 MLC CAP 8P HSG
368506-1,070 MLC CAP 10P HSG
368507-1,070 MLC CAP HSG 12P
368508-1,070 MLC CAP 14P
368509-1,070 MLC CAP 18P HSG
368510-1,070 MLC CAP 20P
368511-1,070 MLC PLUG 20P HSG
368511-2,070 MLC PLUG 20P BLACK
368538-1,070 MLC PLUG 2P HSG
368538-2,070 MLC PLUG 2P HSG BLACK
368539-1,070 MLC PLUG HSG 6P(D.B)
368540-1,070 MLC PLUG 8P HSG
368540-2,070 MLC PLUG 8P HSG BLACK
368541-1,070 MLC PLUG 10P HSG
368542-1,070 MLC PLUG 12P HSG
368543-1,070 MLC PLUG 14P HSG
368544-1,070 MLC PLUG 18P HSG
368544-2,070 MLC PLUG 18P HSG BLACK
368545-1,070 MLC CAP 2P HSG
368545-3,070 MLC CAP 2P HSG BLACK
368546-1,070 MLC CAP HSG 6P(D.B)
444043-1,HSG ASSY 3POS MULTI
444046-1,HSG ASSY 4POS MULTI
444046-2,CONNECTOR SUPERSEAL 4 WAY REC
493971-1,GROUDING CONNECTOR 6 POSN TAB.
6-917978-6,HYBRID MK-2 PLUG HSG ASSY 12P
6-917989-6,HYBRID MK-2 PLUG HSG ASSY 22P
6-917992-6,HYBRID MK-2 PLUG HSG ASSY 26P
638100-1,040 6P PLUG HSG I NT SP KEY
638207-6,040 10P PLUG ASSY III GY
638207-8,040 HYBRID, 10 POSN PLUG ASSY
638229-7,4 POS 040 MULTILOCK PLUG
638258-6,54P HOZ. CAP ASSY
638971-2,8POSN, PLHSG, SL/CPA 040
776127-2,2POS .070 MULTILOCK PLUG RIGHT
776128-6,2POS .070 MULTILOCK PLUG LEFT
776204-2,6POS PLUG HSG,.040 SERIES BLK
85096-1,070 MLC PLUG 22P HSG
85097-1,070 MLC 22P CAP HSG
85109-1,070/250 HYBRID 11P PLUG
85110-1,070/250 HYBRID 11P CAP
85112-1,070/250 HYBRID 13P CAP
85113-2,070/250 HYBRID 15P PLUG(BLK)
85113-5,070/250 HYBRID 15P PLUG(BLUE)
85114-1,070/250 HYBRID 15P CAP
85114-2,070/250 HYBRID 15P CAP BLACK
85114-5,070/250 HYBRID 15P CAP BLUE
85216-1,070/110 11P CAP HSG(D.T.B)
85218-1,070/110 11P PLUG HSG(D.T.B)
85284-1,070 MLC 2P CAP HSG(CLIP TYPE)
881637-3,HSG ASSY MULTILOCK 20P
881643-3,HSG ASSY MULTILOCK 20P TAB
9-1438743-6,54way Hyb .040/2.8 Tails Down Cap Assy
9-1438845-1,040/070 34 POSN CAP ASSEMBLY HORIZONTAL
917604-1,040 MLC CAP ASSY 14P H LOW PRO
917635-6,040/070 HYBRID PLUG HSG 12P
917975-1,HYBRID MK-2 PLUG HSG ASSY 12P
917975-2,HYBRID MK-2 PLUG HSG ASSY 12P
917975-6,HYBRID MK-2 PLUG HSG ASSY 12P
917978-1,HYBRID MK-2 PLUG HSG ASSY 12P
917978-7,.040/.070 HYBRID I/O CONNECTOR
917981-1,HYBRID MK-2 PLUG HSG ASSY 16P
917981-2,HYBRID MK-2 PLUG HSG ASSY 16P
917981-7,HYBRID MK-2 PLUG HSG ASSY 16P
917989-1,HYBRID MK-2 PLUG HSG ASSY 22P
917989-2,HYBRID MK-2 PLUG HSG ASSY 22P
917989-6,HYBRID MK-2 PLUG HSG ASSY 22P
917989-7,HYBRID MK-2 PLUG HSG ASSY 22P
917992-1,HYBRID MK-2 PLUG HSG ASSY 26P
917992-7,HYBRID MK-2 PLUG HSG ASSY 26P
917994-1,HYBRID MK-2 PLUG HSG ASSY 26P
936051-1,040 MLC 8P CAP HSG GRAY
936092-1,090III 10P PLUG ASSY
936092-4,090III 10P PLUG ASSY BROWN
936092-8,090III 10P PLUG ASSY BLUE
936095-1,090III 20P PLUG ASSY
936095-2,090III 20P PLUG ASSY BLACK
936095-4,090III 20P PLUG ASSY BROWN
936095-5,090III 20P PLUG ASSY YELLOW
936095-6,090III 20P PLUG ASSY RED
936098-1,090III 26P PLUG ASSY
936098-2,090III 26P PLUG ASSY BLACK
936098-4,090III 26P PLUG ASSY BROWN
936098-5,090III 26P PLUG ASS'Y YELLOW
936098-6,090III 26P PLUG ASSY RED
936098-7,090III 26P PLUG ASS'Y GREEN
936098-8,090III 26P PLUG ASSY BLUE
936129-1,090III 10P CAP ASSY
936129-4,090III 10P CAP ASSY BROWN
936131-1,090III 20P CAP ASSY
936131-2,090III 20P CAP ASSY BLACK
936131-4,090III 20P CAP ASSY BROWN
936131-5,090III 20P CAP ASSY YELLOW
936131-8,090III 20P CAP ASSY BLUE
936133-1,090III 26P CAP ASSY
936133-2,090III 26P CAP ASSY BLACK
936133-4,090III 26P CAP ASSY BROWN
936133-5,090III 26P CAP ASSY YELLOW
936133-6,090III 26P CAP ASSY RED
936133-7,090III 26P CAP ASSY GREEN
936133-8,090III 26P CAP ASSY BLUE
936151-1,090III 22P PLUG ASSY
936151-2,090III 22P PLUG ASSY BLACK
936151-3,090III 22P PLUG ASSY L-GRY
936151-4,090III 22P PLUG ASSY BROWN
936151-5,090III 22P PLUG ASSY YELLOW
936151-7,090III 22P PLUG ASSY GREEN
936154-1,090III 22P CAP ASSY
936154-2,090III 22P CAP ASSY BLACK
936154-3,090III 22P CAP ASSY L-GRY
936154-4,090III 22P CAP ASSY BROWN
936154-5,090III 22P CAP ASSY YELLOW
936154-8,090III 22P CAP ASSY BLUE
936195-1,090/SPT HYB 76P PLUG ASSY-J200
936196-1,090III 12P PLUG ASSY
936196-2,090III 12P PLUG ASSY(BLACK)
936196-4,090III 12P PLUG ASSY BROWN
936196-5,090III 12P PLUG ASSY YELLOW
936196-8,090III 12P PLUG ASSY BLUE
936199-1,090III 14P PLUG ASSY
936199-2,090III 14P PLUG ASSY BLACK
936199-7,090III 14P PLUG ASSY GREEN
936201-1,090III 16P PLUG ASSY
936201-2,090III 16P PLUG ASSY BLACK
936201-6,090III 16P PLUG ASSY RED
936204-1,090III 18P PLUG ASSY
936204-2,090III 18P PLUG ASSY BLK
936204-4,090III 18P PLUG ASSY BROWN
936207-1,090III 12P CAP ASSY
936207-2,090III 12P CAP ASSY
936207-4,090III 12P CAP ASSY BROWN
936207-5,090III 12P CAP ASSY YELLOW
936209-1,090III 14P CAP ASSY
936209-2,090III 14P CAP ASSY BLACK
936211-1,090III 16P CAP ASSY
936211-2,090III 16P CAP ASSY BLACK
936211-6,090III 16P CAP ASSY RED
936211-8,090III 16P CAP ASSY BLUE
936213-1,090III 18P CAP ASSY
936213-2,090III 18P CAP ASSY BLK
936213-4,090III 18P CAP ASSY BROWN
936213-8,090III 18P CAP ASSY BLUE
936224-1,090III 2P PLUG ASSY
936224-2,090III 2P PLUG ASSY BLACK
936227-1,090III 4P PLUG ASSY
936227-2,090III 4P PLUG ASSY BLACK
936230-1,090III 6P(S) PLUG ASSY
936233-1,090III 8P PLUG ASSY
936236-1,090III 2P CAP ASSY
936236-2,090III 2P CAP ASSY BLACK
936238-1,090III 4P CAP ASSY
936238-2,090III 4P CAP ASSY BLACK
936238-5,090III 4P CAP ASSY (YELLOW)
936240-1,090III 6P(S) CAP ASSY
936242-1,090III 8P CAP ASSY
936242-2,090III 8P CAP ASSY BLK
936248-2,090 SLD 2P PLUG ASSY BLACK
936251-2,090 SLD 3P PLUG ASSY BLACK
936268-1,090III 6P(D) PLUG ASSY
936268-2,090III 6P(D) PLUG ASSY (BLACK)
936271-1,090III 6P(D) CAP ASSY
936280-1,090/JPT 33P CAP ASSY(D.T.B)
936291-2,090 SLD 2P CAP ASSY BLACK
936292-2,090 SLD 3P CAP ASSY BLACK
936346-1,090/JPT 33P CAP ASSY(D.T.B)
936352-2,090/SPT HYB 40P PLUG ASSY BLK
936363-1,090/250 HYB 10P PLUG ASSY
936372-1,090/250 HYB 12P PLUG ASSY
936372-4,090/250 HYB 12P PLUG ASSY BRN
936405-1,HYBRID 39P PLUG ASSY
936405-2,HYBRID 39P PLUG ASSY BLK
936409-1,HYBRID 39P CAP ASSY
936409-2,HYBRID 39P CAP ASSY BLK
936471-1,040 III PLUG 16P ASSY NAT
936473-1,040 III PLUG ASSY 20P NAT
936473-3,040 III PLUG ASSY 20P GRY
936473-4,040 III PLUG ASSY 20P BRN
936475-1,040 III PLUG ASSY 24P NAT
936475-3,040 III PLUG ASSY 24P GRY
936475-4,040 III PLUG ASSY 24P BRN
936497-1,040 III CAP ASSY 16P NAT
936500-4,040 III CAP ASSY 20P BRN
936511-3,040/090/JPT 20P CAP ASSY GRY
936511-4,040/090/JPT 20P CAP ASSY BRN
936511-5,040/090/JPT 20P CAP ASSY YEL
936511-6,040/090/JPT 20P CAP ASSY RED
936511-7,040/090/JPT 20P CAP ASSY GRN
936517-3,040/090/JPT 20P PLUG ASSY GRY
936517-4,040/090/JPT 20P PLUG ASSY BRN
936517-5,040/090/JPT 20P PLUG ASSY YEL
936517-6,040/090/JPT 20P PLUG ASSY RED
936517-7,040/090/JPT 20P PLUG ASSY GRN
936527-2,025 SLD 3P PLUG ASSY
936582-1,090 N-SLD 2P PLUG ASSY FOR CAN
